NAICS_CODE,PRIMARY_INDICATOR,SOURCE_OF_DATA,CODE_DESCRIPTION,PGM_SYS_ACRNM,PGM_SYS_ID,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_LOCATION,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,FEDERAL_FACILITY_CODE,FEDERAL_AGENCY_CODE,TRIBAL_LAND_CODE,TRIBAL_LAND_NAME,LEGISLATIVE_DIST_NUM,EPA_REGION_CODE,SITE_TYPE_NAME,INTEREST_STATUS_CODE,DATA_QUALITY_CODE,LOCATION_DESCRIPTION,STD_NAME,STD_LOC_ADDRESS,STD_HOUSE_NUMBER,STD_STREET_NAME,STD_BASE_NAME,STD_PREFIX,STD_SUFFIX,STD_STYPE_BEFORE,STD_STYPE_AFTER,STD_POSTAL_CODE,STD_STATE_CODE,STD_CITY_NAME,STD_COUNTY_NAME,STD_COUNTY_FIPS,STD_COUNTRY,STD_FULL_ADDRESS,ADDR_TYPE,LAST_REPORTED_DATE,CREATE_DATE,UPDATE_DATE,USER_ID,PARENT_REGISTRY_ID,SENSITIVE_IND,REVIEW_FLAG,REVIEW_REASON,SMALL_BUS_IND,ENV_JUSTICE_CODE,PUBLIC_IND,ICIS_IDENTIFIER,OBJECTID,GEO_SYS_ACRNM,GEO_SYS_ID,LATITUDE83,LONGITUDE83,CONVEYOR,HDATUM_DESC,COLLECT_DESC,REF_POINT_DESC,SOURCE_DESC,SCALE,ACCURACY_VALUE,ACCURACY_SCORE,DERIVED_CITY,DERIVED_COUNTY,DERIVED_ZIP,DERIVED_STATE,DERIVED_FIPS,DERIVED_HUC,DERIVED_WBD,DERIVED_CB_2010,DERIVED_CD_113,US_MEXICO_BORDER_IND,OZONE_8HR_1997_AREA_NAME,PB_2008_AREA_NAME,PM25_1997_AREA_NAME,PM25_2006_AREA_NAME,OZONE_8HR_2008_AREA_NAME
"31311",PRIMARY,RCRAINFO,"FIBER, YARN, AND THREAD MILLS",RCRAINFO,ALR000014886,110006549244,FILTEX INC,5016 GRIMES DRIVE,,GUNTERSVILLE,MARSHALL,01095,AL,ALABAMA,UNITED STATES,35976-9382,N,,N,,,04,STATIONARY,Y,V,,FILTEX,5016 GRIMES DR,5016,GRIMES DR,GRIMES,,,,DR,35976,AL,GUNTERSVILLE,MARSHALL COUNTY,01095,US,"5016 GRIMES DR, GUNTERSVILLE, AL  35976 US",REGULAR URBAN,,01-MAR-00,03-MAY-15,REFRESH,,N,,,,,Y,,29903894,FRS,110006549244,34.308374,-86.2818,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,50,50,GUNTERSVILLE,MARSHALL COUNTY,35976,AL,01095,06030001,060300010903,010950307011164,04,,,,,,
"31311",PRIMARY,RCRAINFO,"FIBER, YARN, AND THREAD MILLS",RCRAINFO,ALD983188673,110061716861,"SHAW INDUSTRIES GROUP, INC. PLANT 14",790 4TH AVENUE,,VALLEY HEAD,DEKALB,,AL,ALABAMA,USA,35989,,,,,,04,STATIONARY,Y,V,,SHAW IND GRP PLT 14TH,499 4TH AVE,499,4TH AVE,4TH,,,,AVE,35989,AL,VALLEY HEAD,DEKALB COUNTY,01049,US,"499 4TH AVE, VALLEY HEAD, AL  35989 US",,12-MAR-13,30-OCT-14,21-MAY-15,REFRESH,,N,,,,,Y,,30638077,FRS,110061716861,34.55739,-85.61474,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,50,50,VALLEY HEAD,DEKALB COUNTY,35989,AL,01049,03150106,,010499614001086,04,,,,,,
"31311",PRIMARY,RCRAINFO,"FIBER, YARN, AND THREAD MILLS",RCRAINFO,MER000002709,110006513549,EASTLAND WOOLEN MILL SUPERFUND SITE,23 ST ALBANS RD,,CORINNA,PENOBSCOT,23019,ME,MAINE,UNITED STATES,04928,N,,N,,,01,STATIONARY,Y,V,,EASTLAND WOOL MILL SUPERFUND SITE,23 ST ALBANS RD,23,ST ALBANS RD,ST ALBANS,,,,RD,04928,ME,CORINNA,PENOBSCOT COUNTY,23019,US,"23 ST ALBANS RD, CORINNA, ME  04928 US",REGULAR URBAN,,01-MAR-00,27-AUG-15,REFRESH,,N,,,,,Y,,36164177,FRS,110006513549,44.92178,-69.26437,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,CORINNA,PENOBSCOT COUNTY,04928,ME,23019,01030003,,230190140001042,02,,,,,,
"31311",PRIMARY,RCRAINFO,"FIBER, YARN, AND THREAD MILLS",RCRAINFO,GAD042985853,110007484702,MILLIKEN & CO MANCHESTER PLANT,CALLAWAY STREET,,MANCHESTER,MERIWETHER,13199,GA,GEORGIA,UNITED STATES,31816,N,,N,,BB,04,STATIONARY,N,V,,MILLIKEN & MANCHESTER PLT,14 CALLAWAY ST,14,CALLAWAY ST,CALLAWAY,,,,ST,31816,GA,MANCHESTER,MERIWETHER COUNTY,13199,US,"14 CALLAWAY ST, MANCHESTER, GA  31816 US",IRREGULAR,,01-MAR-00,08-AUG-10,REFRESH,,N,,,,,Y,,29991184,FRS,110007484702,32.8569,-84.60883,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,50,50,MANCHESTER,MERIWETHER COUNTY,31816,GA,13199,03130005,031300050704,131999705005015,03,,,,,,
"31311",PRIMARY,RCRAINFO,"FIBER, YARN, AND THREAD MILLS",RCRAINFO,GAR000020289,110012706982,SHAW INDUSTRIES GROUP INC PLANT WM,902 N. HAMILTON ST.,,DALTON,WHITFIELD,13313,GA,GEORGIA,UNITED STATES,30720,N,,N,,,04,STATIONARY,Y,V,,SHAW IND GRP PLT WMN,902 N HAMILTON ST,902,N HAMILTON ST,HAMILTON,N,,,ST,30720,GA,DALTON,WHITFIELD COUNTY,13313,US,"902 N HAMILTON ST, DALTON, GA  30720 US",REGULAR URBAN,14-JAN-17,25-SEP-02,01-JUN-17,JAMES_CHILTON,,N,,,N,,Y,,32003246,TRIS,30720SHWND902NH,34.78533,-84.96643,FRS-TRIS,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,DALTON,WHITFIELD COUNTY,30720,GA,13313,03150101,,133130005021024,14,,,,,,
"31311",PRIMARY,RCRAINFO,"FIBER, YARN, AND THREAD MILLS",RCRAINFO,PAR000037077,110004882663,KENNETEX,740 W CYPRESS ST,,KENNETT SQUARE,CHESTER,42029,PA,PENNSYLVANIA,UNITED STATES,19348,N,,N,,1,03,STATIONARY,Y,V,,KENNETEX,740 W CYPRESS ST,740,W CYPRESS ST,CYPRESS,W,,,ST,19348,PA,KENNETT SQUARE,CHESTER COUNTY,42029,US,"740 W CYPRESS ST, KENNETT SQUARE, PA  19348 US",REGULAR URBAN,,01-MAR-00,17-JUL-14,REFRESH,,N,,,,,Y,,36661003,FRS,110004882663,39.84314,-75.72781,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,KENNETT SQUARE,CHESTER COUNTY,19348,PA,42029,02040205,,420293065031010,07,,Philadelphia-Wilmington-Atlantic City Area,,Philadelphia-Wilmington,Philadelphia-Wilmington,Philadelphia-Wilmington-Atlantic City
"3132",PRIMARY,RI-PLOVER,FABRIC MILLS,RI-PLOVER,882,110001663968,PROVIDENCE BRAID COMPANY,358 LOWDEN ST,,PAWTUCKET,PROVIDENCE,44007,RI,RHODE ISLAND,UNITED STATES,02860-6093,N,,N,,,01,STATIONARY,,V,,PRVDNCE BRAID,358 LOWDEN ST,358,LOWDEN ST,LOWDEN,,,,ST,02860,RI,PAWTUCKET,PROVIDENCE COUNTY,44007,US,"358 LOWDEN ST, PAWTUCKET, RI  02860 US",REGULAR URBAN,27-MAR-17,01-MAR-00,01-JUN-17,REFRESH,,N,,,,EJB,Y,,31987739,TRIS,02860PRVDN358LO,41.860235,-71.39798,FRS-TRIS,NAD83,INTERPOLATION-PHOTO,FACILITY CENTROID,,2400,15,15,PAWTUCKET,PROVIDENCE COUNTY,02860,RI,44007,01090004,,440070164002014,01,,Providence (all of RI) Area,,,,
"3132",UNKNOWN,CA-ENVIROVIEW,FABRIC MILLS,CA-ENVIROVIEW,77923,110066443423,TRULITE WSGNA LLC - OSGOOD RD,43443 OSGOOD RD,,FREMONT,ALAMEDA,,CA,CALIFORNIA,U.S.A.,94539,,,,,,09,STATIONARY,,V,,TRULITE WSGNA OSGOOD RD,43443 OSGOOD RD,43443,OSGOOD RD,OSGOOD,,,,RD,94539,CA,FREMONT,ALAMEDA COUNTY,06001,US,"43443 OSGOOD RD, FREMONT, CA  94539 US",,10-SEP-15,14-OCT-15,,REFRESH,,N,,,,,Y,,33767612,FRS,110066443423,37.517659,-121.944941,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,50,50,FREMONT,ALAMEDA COUNTY,94539,CA,06001,18050003,,060014422004016,17,N,San Francisco Bay Area,,,San Francisco Bay Area,San Francisco Bay Area
"31323",PRIMARY,RCRAINFO,NONWOVEN FABRIC MILLS,RCRAINFO,ARD983267444,110001705021,KIMBERLY-CLARK CORPORATION - MAUMELLE,500 MURPHY DRIVE,,MAUMELLE,PULASKI,05119,AR,ARKANSAS,UNITED STATES,72113-6195,N,,N,,2,06,STATIONARY,Y,V,,KIMBERLY CLARK MAUMELLE,500 MURPHY DR,500,MURPHY DR,MURPHY,,,,DR,72113,AR,MAUMELLE,PULASKI COUNTY,05119,US,"500 MURPHY DR, MAUMELLE, AR  72113 US",REGULAR URBAN,,01-MAR-00,07-OCT-16,REFRESH,,N,,,N,,Y,,35116753,RCRAINFO,ARD983267444,34.864664,-92.395071,RCRAINFO,NAD83,THE GEOGRAPHIC COORDINATE DETERMINATION METHOD BASED ON GPS,SOLID WASTE STORAGE AREA,,,,13,MAUMELLE,PULASKI COUNTY,72113,AR,05119,11110207,,051190043032022,02,,,,,,
"31323",PRIMARY,RCRAINFO,NONWOVEN FABRIC MILLS,RCRAINFO,ALD982114647,110007912189,CROWN TEXTILE COMPANY,1211 FORT LASHLEY AVENUE,,TALLADEGA,TALLADEGA,01121,AL,ALABAMA,UNITED STATES,35160,N,,N,,,04,STATIONARY,N,V,,CRWN TXTL,1211 FORT LASHLEY AVE,1211,FORT LASHLEY AVE,FORT LASHLEY,,,,AVE,35160,AL,TALLADEGA,TALLADEGA COUNTY,01121,US,"1211 FORT LASHLEY AVE, TALLADEGA, AL  35160 US",REGULAR URBAN,,01-MAR-00,26-JAN-12,KAVUISYA,,N,,,,,Y,,30103441,FRS,110007912189,33.421245,-86.119374,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,50,50,TALLADEGA,TALLADEGA COUNTY,35160,AL,01121,03150106,031501060703,011210107001039,03,,,,,,
