"","FACIL_NAME","STATE","BRANCH","Latitude","Longitude","intersection","HUC","elevation","elev_units","geometry"
"1","AASF #1 R W Shepherd Hope Hull","Alabama","Army",32.287795,-86.395382,35435,"031502010406",73.11,"meters",c(-86.395382, 32.287795)
"2","AASF #2 Birmingham","Alabama","Army",33.5720735,-86.7505529,4091,"031601110408",195.18,"meters",c(-86.7505529, 33.5720735)
"3","AASF #3 Bates Field Mobile","Alabama","Army",30.691389,-88.242778,37005,"031700080601",64.15,"meters",c(-88.242778, 30.691389)
"4","Anniston Army Depot","Alabama","Army",33.6171369,-85.9677017,36442,"031501060513",196.06,"meters",c(-85.9677017, 33.6171369)
"5","Fort McClellan","Alabama","Army",33.7257961,-85.7902323,36283,"031501060401",240.93,"meters",c(-85.7902323, 33.7257961)
"6","Fort Rucker","Alabama","Army",31.3400515,-85.7153754,35706,"031402010903",99.97,"meters",c(-85.7153754, 31.3400515)
"7","Montgomery Regional (Dannelly Field)","Alabama","Air Force",32.3050713,-86.3906353,35432,"031502010310",60.08,"meters",c(-86.3906353, 32.3050713)
"8","Pelham Range","Alabama","Army",33.7271908,-85.8937313,36287,"031501060407",193.3,"meters",c(-85.8937313, 33.7271908)
"9","Adak AK NAF","Alaska","Navy",51.878056,-176.646111,98592,"190301030000",NA,"meters",c(-176.646107601846, 51.8780398485559)
"10","Bethel AAOF","Alaska","Army",60.782241,-161.842619,75449,"190305023201",35.9,"meters",c(-161.842619, 60.782241)
"11","Bryant Airfield-  JBER","Alaska","Army",61.2625077,-149.6547035,36556,"190204010404",109.82,"meters",c(-149.6547035, 61.2625077)
"12","Eareckson AFB","Alaska","Air Force",52.7228375,174.1123656,98592,"190301030000",NA,"meters",c(174.112359527279, 52.7228224111804)
"13","Fort Greely","Alaska","Army",63.8858021,-145.607616,51964,"190803031310",492.1,"meters",c(-145.607616, 63.8858021)
"14","Fort Wainwright","Alaska","Army",64.8415875,-147.6100698,102826,"190803060909",137.96,"meters",c(-147.6100698, 64.8415875)
"15","Fort Wainwright - Gerstle River Test Site","Alaska","Army",63.759444,-145.084722,51909,"190803031204",577.98,"meters",c(-145.084722, 63.759444)
"16","Fort Wainwright - Haines Pipeline Facilities","Alaska","Army",63.0622,-141.9072,102267,"190803020404",517.33,"meters",c(-141.9072, 63.0622)
"17","Juneau AAOF","Alaska","Army",58.35754,-134.568192,12471,"190103010606",5.64,"meters",c(-134.568192, 58.35754)
"18","King Salmon","Alaska","Air Force",58.6883251,-156.661351,96902,"190302041501",NA,"meters",c(-156.661351, 58.6883251)
"19","Nome AAOF","Alaska","Army",58.357432,-134.569571,12471,"190103010606",7,"meters",c(-134.569571, 58.357432)
"20","Air Force Research Laboratory Mesa","Arizona","Air Force",33.305588,-111.671744,34347,"150501000808",410.11,"meters",c(-111.671744, 33.305588)
"21","Popago Military Reservation","Arizona","Army",33.4668677,-111.9620897,36522,"150601060306",386.39,"meters",c(-111.9620897, 33.4668677)
"22","Tempe Readiness Center","Arizona","Army",33.4203544,-111.9721775,36522,"150601060306",347.74,"meters",c(-111.9721775, 33.4203544)
"23","Williams AFB","Arizona","Air Force",33.311486,-111.681845,34347,"150501000808",405.81,"meters",c(-111.681845, 33.311486)
"24","Camp Robinson","Arkansas","Army",34.8056141,-92.2659159,19998,"111102070401",99.43,"meters",c(-92.2659159, 34.8056141)
"25","Little Rock AFB","Arkansas","Air Force",34.8964136,-92.1446849,35222,"080204020104",114.88,"meters",c(-92.1446849, 34.8964136)
"26","Pine Bluff Arsenal","Arkansas","Army",34.3025046,-92.0855818,19926,"111102070605",76.03,"meters",c(-92.0855818, 34.3025046)
"27","Air Force Plant 42","California","Air Force",34.6319268,-118.088878,6127,"180902061408",764.82,"meters",c(-118.088878, 34.6319268)
"28","AZUSA CA NCCOSC MORRIS DA","California","Navy",34.181689,-117.871663,2147,"180701060601",371.73,"meters",c(-117.871663, 34.181689)
"29","Camp San Luis Obispo","California","Army",35.3232464,-120.7374608,38837,"180600060502",75.47,"meters",c(-120.7374608, 35.3232464)
"30","Concord NWS","California","Navy",38.0196297,-122.0262623,57617,"180500010302",8.67,"meters",c(-122.0262623, 38.0196297)
"31","Crows NALF","California","Navy",37.4080056,-121.1094188,82151,"180400020205",45.82,"meters",c(-121.1094188, 37.4080056)
"32","DFSP Norwalk","California","DLA",33.892391,-118.072909,2152,"180701060606",23.66,"meters",c(-118.072909, 33.892391)
"33","DFSP Ozol","California","DLA",38.0265879,-122.1630219,57619,"180500010401",1.59,"meters",c(-122.1630219, 38.0265879)
"34","DFSP San Pedro","California","DLA",33.775384,-118.2971871,2153,"180701060701",9.51,"meters",c(-118.2971871, 33.775384)
"35","EL CENTRO CA NAF","California","Navy",32.8113356,-115.6722218,20955,"181002041103",-12.57,"meters",c(-115.6722218, 32.8113356)
"36","FALLON NV NAS","California","Navy",39.4202278,-118.7251208,55750,"160502030306",1199.46,"meters",c(-118.7251208, 39.4202278)
"37","Fort Irwin","California","Army",35.2628402,-116.6846351,83825,"180902081501",757.73,"meters",c(-116.6846351, 35.2628402)
"38","Fresno Air Guard/Fresno TASMG","California","Air Force/Army",36.7653025,-119.712675,59943,"180300090503",99.35,"meters",c(-119.712675, 36.7653025)
"39","Hunters Point Annex","California","Navy",37.7206531,-122.3673427,57062,"180500041001",3.09,"meters",c(-122.3673427, 37.7206531)
